Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot114,"igorir3",normal,14,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","19:55:56","19:56:35",
Bot114,"igorir3",normal,14,Completed,"Search Mission","Zone pr_scout_base","1","19:56:40","19:59:43",
Bot114,"igorir3",normal,14,Completed,"Search Mission","Zone pr_scout_col","1","19:59:48","20:00:41",
Bot114,"igorir3",normal,14,Active,"USEC Camp South","USEC Camp South: Objective #1","1","20:00:46","N/A",
Bot115,"Panicdots",normal,11,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","19:55:57","19:56:12",
Bot115,"Panicdots",normal,11,Failed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","19:56:17","20:05:13",
Bot113,"ThatGuyXIV",normal,12,Completed,"Search Mission","Zone pr_scout_col","1","19:55:57","19:57:15",
Bot113,"ThatGuyXIV",normal,12,Completed,"Search Mission","Zone pr_scout_base","1","19:57:20","19:58:05",
Bot113,"ThatGuyXIV",normal,12,Completed,"Easy Money - Part 1","Item Bison VS Undertaker poster pack.","1","19:58:10","19:58:29",
Bot113,"ThatGuyXIV",normal,12,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","19:58:34","19:58:47",
Bot113,"ThatGuyXIV",normal,12,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","19:58:52","19:59:31",
Bot113,"ThatGuyXIV",normal,12,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","19:59:37","20:00:28",
Bot113,"ThatGuyXIV",normal,12,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","20:00:33","20:01:17",
Bot113,"ThatGuyXIV",normal,12,Failed,"USEC Camp South","USEC Camp South: Objective #1","1","20:01:22","20:05:47",
Bot118,"Anthal",normal,5,Failed,"Sawmill Shack","Sawmill Shack: Objective #1","1","19:55:57","20:04:11",
Bot117,"Victor_Two",normal,17,Failed,"Gratitude","Zone place_THX_15","1","19:55:57","20:01:54",
Bot116,"rozema",normal,17,Failed,"Gratitude","Zone place_THX_15","1","19:55:57","19:56:49",
Bot132,"Mako",normal,18,Pending,"Steady Signal","Zone q14_8_5","1","20:02:15","N/A",
Bot131,"jbs4bmx",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","20:02:15","20:06:32",
Bot131,"jbs4bmx",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","20:06:37","20:07:05",
Bot131,"jbs4bmx",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","20:07:10","20:08:10",
Bot131,"jbs4bmx",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","20:08:15","20:09:26",
Bot131,"jbs4bmx",normal,14,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","20:09:31","20:11:06",
Bot131,"jbs4bmx",normal,14,Active,"Scav Base","Scav Base: Objective #2","1","20:11:11","N/A",
Bot133,"JaydanCan",normal,11,Pending,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","20:02:15","N/A",
Bot157,"Захар Минский (MJG)",normal,1,Active,"Old Sawmill","Old Sawmill: Objective #1","1","20:10:05","N/A",
